"Project Name",Status,Location,"End Use","Electrolyser Capacity (MW)","Project Capacity (Tonnes H2 P.A.)","More Info"
"Trafalgar Square Lucknow Hydrogen Project",Announced,NA,"Green Hydrogen",0,10000,https://energy.economictimes.indiatimes.com/news/renewable/uttar-pradesh-secures-1-15-lakh-crore-investments-for-green-hydrogen-ammonia-projects/113456828
"Welspun New Energy Bulandshahr Hydrogen Project",Announced,NA,"Green Ammonia",0,0,https://energy.economictimes.indiatimes.com/news/renewable/uttar-pradesh-secures-1-15-lakh-crore-investments-for-green-hydrogen-ammonia-projects/113456828
"AM Green Ammonia Tuticorin Hydrogen Project",Announced,NA,"Green Ammonia - Export to Germany",0,0,https://www.rwe.com/-/media/RWE/documents/07-presse/rwe-supply-and-trading/2024/2024-09-18-rwe-and-am-green-ammonia-sign-mou-for-supply-of-rfnbo-compliant-ammonia-from-india.pdf
"Jindal Renewables Anugul Hydrogen Project",Announced,NA,"Green Hydrogen",0,4500,https://www.business-standard.com/companies/news/jspl-jrpl-sign-pact-to-invest-in-green-hydrogen-production-in-odisha-124091600426_1.html
"TANGEDCO Vayalur Green Hydrogen Project",Announced,NA,"Green Hydrogen",0.112,16.000,https://renewablewatch.in/2024/10/01/greenzo-energy-secures-tangedco-green-hydrogen-project/
"RBM Infracon Bhuj Hydrogen Project",Announced,NA,"Green Hydrogen",5.000,710.000,https://energy.economictimes.indiatimes.com/news/renewable/greenzo-energy-rbm-infracon-sign-200-crore-mou-for-15-mw-green-hydrogen-projects-in-gujarat/113938163
"RBM Infracon Jamnagar Hydrogen Project","Announced ",NA,"Green Hydrogen",5.000,710.000,https://energy.economictimes.indiatimes.com/news/renewable/greenzo-energy-rbm-infracon-sign-200-crore-mou-for-15-mw-green-hydrogen-projects-in-gujarat/113938163
"RBM Infracon Kutch Hydrogen Project",Announced,NA,"Green Hydrogen",5.000,710.000,https://energy.economictimes.indiatimes.com/news/renewable/greenzo-energy-rbm-infracon-sign-200-crore-mou-for-15-mw-green-hydrogen-projects-in-gujarat/113938163
"Hero Future Energies Karnataka Hydrogen Project",Announced,NA,"Green Hydrogen- Synthetic Fuels",0,0,
"VIBGYOR Group Bangalore Hydrogen Plant",Announced,NA,"Green Hydrogen- Transport",1.000,150.000,
"Ashoka Buildcon Bihar Hydrogen Project",Announced,NA,"Green Hydrogen",0,0,
"NHPC Bihar Hydrogen Project",Announced,NA,"Green Hydrogen-Transport",0,0,
"Waaree Renewable Technologies Maharashtra Hydrogen Project",Announced,NA,"Green Hydrogen- Transport",1.000,142.000,
"Karnataka Renewable Energy Development Ballari Hydrogen Project",Announced,NA,"Green Hydrogen",0.300,42.600,
"H2Earth India Hydrogen Project",Announced,NA,"Green Ammonia",0,0,
"Haryana City Gas Distribution Hydrogen Project",Announced,NA,Hydrogen,15.000,2.000,
"H2e Power Pune Hydrogen Project",Announced,NA,"Green Ammonia",0,0,
"NTPC Kandla Hydrogen Plant",Announced,NA,Hydrogen,1.000,142.000,
"SJVN Green Energy Assam Hydrogen Project",Announced,NA,"Green Hydrogen",25.000,3559.225,
"Waaree Clean Energy Valsad Hydrogen Project",Planned,NA,"Green Hydrogen",300.000,90000.000,
"Open Origin Maharashtra Hydrogen Project",Announced,NA,"Green Ammonia",0,0,
"NTPC Green Energy Chidambaranar Port Hydrogen Project",Announced,NA,"Green Hydrogen",0,0,
"Hero Future Energies Tirupati Hydrogen Plant",Commissioned,"Andhra Pradesh","Green Hydrogen",0.300,42.600,https://www.thehindubusinessline.com/companies/hero-future-energies-launches-green-hydrogen-plant-in-ap/article69290438.ece
"Spray Engineering Nalagarh Hydrogen Project Phase 1",Announced,"Himachal Pradesh","Green Hydrogen",30.000,4271.071,https://manufacturing.economictimes.indiatimes.com/news/energy/himachal-govt-inks-pact-for-rs-1400-cr-api-green-hydrogen-ethanol-facility/118789655
"Spray Engineering Nalagarh Hydrogen Project Phase 2",Announced,"Himachal Pradesh","Green Hydrogen",50.000,7118.451,https://manufacturing.economictimes.indiatimes.com/news/energy/himachal-govt-inks-pact-for-rs-1400-cr-api-green-hydrogen-ethanol-facility/118789655
"Shreetech Data Mayurbhanj Hydrogen Project","Announced ",NA,"Green Hydrogen",0,0,https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-govt-approves-rs-165303-crore-investments-for-industrial-projects-across-seven-districts/articleshow/119631973.cms
"Rampur GH2 Project (Phase 1)",Commissioned,"Rampur, Uttar Pradesh","GH2 for Mentha Oil Industry and Sorbitol Manufacturing",1.250,145.000,
"Rampur GH2 Project Phase II","Under Construction","Rampur, Uttar Pradesh","GH2 for Mentha Oil Industry and Sorbitol Manufacturing",3.750,435.000,
"Malati Fine Chemicals Pune Hydrogen Project",Announced,Maharashtra,"Green Hydrogen",0,0,
"NTPC Renewable Sipat Hydrogen Project",Announced,Chattisgarh,"Green Hydrogen",2,284.7381,
"Juno Joule Energy Mulapeta Port Hydrogen Project",Announced,"Andhra Pradesh","Green Hydrogen",1267.606,180000,
"KPI Green Matar Hydrogen Plant",Planned,Gujarat,,1,157.468,
"ACME Gopalpur Hydrogen Project Phase 2",Planned,Odisha,"Green Ammonia",2000,284000,
"Oswal Energies Hydrogen Project",Announced,NA,"Green Hydrogen",1,142,
"SIGHT: Green Ammonia- Madhya Bharat Agro Products Limited-III SCC Infrastructure Pvt Ltd",Announced,"Dhule, Madhya Pradesh",Fertilizer,0,12320.000,https://nghm.mnre.gov.in/admin/uploads/1754957506485481754650574_Snapshot_for_Project-13_Mode2A_Tranche1.pdf
"SIGHT: Green Ammonia- Krishana Phoschem Limited- NTPC REL",Announced,"Meghnagar, Madhya Pradesh",Fertilizer,0,12320.000,https://nghm.mnre.gov.in/admin/uploads/1754967902854311754316577_Snapshot_for_Project-11_Krishna_Phoschem.pdf
